AEECLSID_PROVISIONITEM,0x0100101f,system,brewcore
AEECLSID_UIMDBMETA_SERVICE,0x0107000f,databases,icontacts
AEECLSID_ASExtObjA,0x0108a55d,languages,flash
AEECLSID_USBCompositor_UI,0x01093e41,hardware,usbdevice
AEECLSID_UTFlashAMC,0x01075b99,languages,flash
AEECLSID_QoSSession,0x0102b6c9,networking,networking
AEECLSID_PopupMenuForm,0x01028e4c,ui,widgets
AEECLSID_OATDISP2PLUSER,0x01046ce9,system,brewcore
AEECLSID_Block3DES,0x0102cccf,system,componentservices
AEECLSID_PDPSettings,0x01070a7f,system,brewcore
AEEIID_GLES11EXT,0x0103d8eb,system,brewcore
AEECLSID_CTFFileHoggerTest,0x01078f01,system,brewcore
AEECLSID_VIEW,0x01004000,system,brewcore
AEEIID_IEnv,0x0102346d,system,componentservices
AEEIID_IBTRemoteCameraInitiator,0x01072522,connectivity,bluetooth
AEECLSID_LUASETTINGS,0x01062c2c,apps,mam
AEECLSID_CARDAPPTOOLKITAPP,0x0106fecb,apps,softkeyappsuite
AEEIID_DISPLAYINIT,0x01036c7f,system,brewcore
AEECLSID_LocaleFA,0x0103a1e6,system,locales
AEEIID_IAsyncFSResult,0x0106f906,connectivity,bluetooth
AEECLSID_OATPERFSUPPORT_01_USER,0x0103f21b,system,brewcore
AEECLSID_AddrInfoCacheService,0x010398da,system,brewcore
AEECLSID_LocaleFI,0x010311e0,system,locales
AEECLSID_OATMEDIASVG,0x0102d245,system,brewcore
AEECLSID_FONTSYSITALIC,0x0101402c,system,brewcore
AEECLSID_C_BasicMod1Ext_Service,0x0108e09c,tools,multi-platform-samplecode
AEECLSID_OATFLIPAPP,0x010755b4,system,brewcore
AEECLSID_OATHashAppUser,0x0107deb3,deprecated,legacybrewcrypto
AEEIID_SIMULATORPLUGIN,0x01034d61,tools,simulator
AEECLSID_SPDRCREATE,0x01024cca,system,brewcore
AEECLSID_VerifyModSigTest_K,0x01076068,security,modulemanager
AEECLSID_SCREENCAPXTN,0x0103c0a9,tools,communication
AEECLSID_RSA_DSP,0x0102daa3,deprecated,legacybrewcrypto
AEECLSID_ASEEventNotifier,0x0108c305,languages,flashlite
AEEIID_IStressCPU,0x01078f03,system,brewcore
AEECLSID_HMACSHA384Ctx_SIZE,0x00000158,system,componentservices
AEEIID_TESTLOGMGR,0x01041ddd,deprecated,isqldbcshim
AEECLSID_FlashFrameModel,0x01078cac,languages,flash
AEECLSID_ARRAYMODEL_1,0x01028e02,ui,widgets
AEECLSID_CPUHoggerService,0x01079270,system,brewcore
AEECLSID_NetworkService,0x01039ba9,system,brewcore
AEECLSID_OATPERFDISPLAY,0x01075548,system,brewcore
AEECLSID_BREWFONTS,0x0100a000,system,brewcore
AEECLSID_SCROLLTC,0x0105660a,ui,widgets
AEECLSID_MemShareGrpSMIService,0x0105936a,system,componentservices
AEEIID_IMemRegionList,0x0106dc97,system,componentservices
AEECLSID_BNTEST,0x0103ea72,system,componentservices
